HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita
155,Solomon Islands,0.564,70.3,10.3,5.7,"2,482"
156,Comoros,0.558,63.4,11.9,5.1,"3,142"
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009"
158,Mauritania,0.556,64.4,9.4,4.9,"5,075"
159,Côte d'Ivoire,0.55,58.6,10.7,5.2,"5,217"
160,Tanzania (United Republic of),0.549,66.2,9.2,6.4,"2,664"
161,Pakistan,0.544,66.1,8.7,4.5,"4,624"
162,Togo,0.539,61.6,13,5,"2,167"
163,Haiti,0.535,63.2,9.7,5.6,"2,848"
163,Nigeria,0.535,52.7,10.1,7.2,"4,790"
165,Rwanda,0.534,66.1,11.2,4.4,"2,210"
166,Benin,0.525,59.8,10.8,4.3,"3,409"
166,Uganda,0.525,62.7,10.1,5.7,"2,181"
168,Lesotho,0.514,53.1,12,6,"2,700"
169,Malawi,0.512,62.9,12.7,4.5,"1,466"
170,Senegal,0.511,67.1,9,2.9,"3,344"
171,Djibouti,0.509,62.3,7.4,4.1,"5,025"
172,Sudan,0.508,65.3,7.9,3.8,"3,575"
173,Madagascar,0.501,64.5,10.1,5.1,"1,484"
174,Gambia,0.5,62.1,9.4,4.6,"2,172"
175,Ethiopia,0.498,65,9.7,3.2,"2,361"
176,Eritrea,0.492,66.5,8.1,4.9,"1,729"
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908"
178,Liberia,0.481,60.7,10.4,5.1,"1,289"
179,Congo (Democratic Republic of the),0.479,59.2,9.8,7,"1,076"
180,Afghanistan,0.478,62,10.3,3,"1,824"
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622"
182,Guinea,0.465,58.9,9.8,2.2,"2,481"
183,Yemen,0.455,63.8,9.1,3.2,"1,314"
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118"
185,Mozambique,0.446,59.3,10.2,3.2,"1,198"
186,Mali,0.428,58.9,7.4,2.3,"2,133"
187,Burundi,0.426,61.7,10.7,3.1,732
188,Central African Republic,0.404,53.9,8,4.3,966
189,Niger,0.4,61.6,7,2.1,"1,240"
190,Chad,0.394,52.5,8,2.6,"1,364"
191,South Sudan,0.385,55,5.5,5.7,768
